STATE,COUNTY,FIPS,RPL_THEMES,F_TOTAL
UTAH,Salt Lake,49035113903,0.8353,3
UTAH,Cache,49005000600,0.837,4
UTAH,Salt Lake,49035112404,0.8388,1
UTAH,Utah,49049002701,0.8405,2
UTAH,Garfield,49017000300,0.8422,3
UTAH,Salt Lake,49035113306,0.8439,5
UTAH,Beaver,49001100100,0.8456,1
UTAH,Salt Lake,49035112610,0.8473,1
UTAH,Cache,49005000401,0.8491,1
UTAH,Salt Lake,49035111701,0.8508,8
UTAH,Davis,49011125702,0.8525,1
UTAH,Sanpete,49039972200,0.8542,0
UTAH,Utah,49049002400,0.8559,4
UTAH,Utah,49049002000,0.8576,2
UTAH,Salt Lake,49035111801,0.8593,1
UTAH,Cache,49005001002,0.8611,2
UTAH,Iron,49021110400,0.8628,2
UTAH,Washington,49053271500,0.8645,2
UTAH,Weber,49057210701,0.8662,1
UTAH,Salt Lake,49035100307,0.8679,8
UTAH,Sanpete,49039972400,0.8696,5
UTAH,Davis,49011125807,0.8714,2
UTAH,Utah,49049000801,0.8731,3
UTAH,Washington,49053271300,0.8748,5
UTAH,Box Elder,49003960701,0.8765,1
UTAH,Salt Lake,49035112403,0.8782,4
UTAH,Washington,49053270300,0.8799,2
UTAH,Weber,49057200400,0.8816,7
UTAH,Weber,49057201301,0.8834,4
UTAH,Iron,49021110300,0.8851,2
UTAH,Washington,49053270902,0.8868,3
UTAH,Duchesne,49013940500,0.8885,1
UTAH,Salt Lake,49035113505,0.8902,3
UTAH,Washington,49053271000,0.8919,3
UTAH,Salt Lake,49035113309,0.8937,3
UTAH,Carbon,49007000100,0.8954,0
UTAH,Salt Lake,49035113310,0.8971,2
UTAH,Salt Lake,49035113509,0.8988,4
UTAH,Weber,49057210600,0.9005,1
UTAH,Weber,49057200800,0.9022,3
UTAH,Utah,49049010506,0.9039,2
UTAH,Davis,49011125801,0.9057,1
UTAH,Washington,49053270700,0.9074,2
UTAH,Salt Lake,49035113308,0.9091,6
UTAH,Salt Lake,49035111802,0.9108,4
UTAH,Weber,49057200204,0.9125,2
UTAH,Salt Lake,49035100308,0.9142,9
UTAH,Weber,49057201900,0.916,6
UTAH,Grand,49019000200,0.9177,4
UTAH,Salt Lake,49035114500,0.9194,4
UTAH,Utah,49049000901,0.9211,1
UTAH,Uintah,49047968401,0.9228,3
UTAH,Washington,49053271100,0.9245,0
UTAH,San Juan,49037978200,0.9262,1
UTAH,Uintah,49047940201,0.928,3
UTAH,Box Elder,49003960300,0.9297,3
UTAH,Salt Lake,49035111600,0.9314,5
UTAH,Millard,49027974100,0.9331,0
UTAH,Davis,49011126700,0.9348,1
UTAH,Weber,49057201100,0.9365,7
UTAH,Salt Lake,49035112402,0.9383,3
